[High Premium Options List]
Symbol,Rank,Rank,Lot,Intrinsic,ltp,Strike_Price,Call_Ask1%,Call_Ask2%,Call_Ask3%,Put_Ask1%,Put_Ask2%,Put_Ask3%,Day_Range,Week_Range,Month_Range
BANKINDIA,132,132,1,189.861,174.13,174,0.2,4,,0.3,3.2,,2.55,8.1,10.1
LT,8,8,1,736.989,4418.1,4420,0.2,2.4,,0.6,2,,1.81,5.04,8.24
ICICIBANK,5,5,1,487.636,1399.4,1400,0.2,2,,0.3,1.4000000000000001,,1.34,4.39,6.62
AXISBANK,13,13,1,666.704,1386.7,1390,0.2,2.4,,0.7000000000000001,2.1999999999999997,,1.88,5.37,7.63
ALKEM,158,158,1,1116.264,5490.5,5500,0.2,2.9000000000000004,,0.5,2.3,2.8000000000000003,3.16,5.92,8.56
UNOMINDA,153,153,1,108.179,1196,1200,0.2,3.4000000000000004,,0.4,3.3000000000000003,,2.32,7.27,14.44
ULTRACEMCO,19,19,1,2448.889,12976,13000,0.2,2.4,,0.6,2.1999999999999997,,1.64,4.3,6.35
BAJAJFINSV,24,24,1,480.6,2051.6,2060,0.2,2.5,,0.5,2.1999999999999997,,1.49,4,8.5
ANGELONE,310,310,1,641.858,2491.3,2500,0.2,4.3,,0.6,4.7,,3.53,12.6,18.89
APLAPOLLO,173,173,1,165.874,2191.5,2200,0.2,2.6,,0.4,2.4,,2.2,6.09,8.38
GODREJCP,81,81,1,118.898,1222.9,1220,0.2,2.7,,0.2,2.1999999999999997,,2.13,4.79,9.54
MOTHERSON,73,73,1,35.022,130.82,131,0.2,3.4000000000000004,,0.8999999999999999,3,,2.57,7.37,11.89
ZYDUSLIFE,120,120,1,251.492,907.95,910,0.2,2.7,,0.5,2.5,,1.57,4.4,8.23
RELIANCE,1,1,1,648.12,1428,1430,0.2,2.5,,0.6,2.1,,1.82,6.04,8.88
GAIL,97,97,1,134.062,167.13,167,0.1,2.9000000000000004,,0.3,2.3,,1.91,5.26,8.19
MARUTI,12,12,1,3172.502,15072,15100,0.1,2.4,,0.6,2.1,,1.69,5.98,11.2
NTPC,21,21,1,198.221,375.45,375,0.1,2.9000000000000004,0,0.5,2.5,,1.66,5.07,6.28
YESBANK,159,159,1,15.751,20.89,21,0.1,3,,0.5,2.7,,1.57,6.39,10.55
LAURUSLABS,188,188,1,88.975,1017.05,1020,0.1,3.4000000000000004,,0.8,3.5000000000000004,,2.11,8.01,12.11
TATAELXSI,266,266,1,433.801,4714,4700,0.1,4.3999999999999995,,1.0999999999999999,4.7,,3.25,9.21,14.23
ICICIPRULI,113,113,1,92.934,664.15,665,0.1,2.7,,0.4,2.6,,2.05,5.12,8.26
M&M,16,16,1,741.994,3447.1,,,,,,,,2.01,6.07,11.0
IIFL,320,320,1,305.352,503.9,,,,,,,,4.08,12.27,16.14

[Signal Options List]
Symbol,Rank,Rank,Lot,Intrinsic,ltp,Strike_Price,sr_day,nwe_day,Call_Diff1%,Call_Diff2%,Call_Diff3%,Put_Diff1%,Put_Diff2%,Put_Diff3%,Day_Range,Week_Range,Month_Range
OFSS,179,179,1,794.018,6669.5,6700,2026-02-23,2026-02-16,0.1,0.3,,0.3,0.1,,2.81,8.77,14.9
KALYANKJIL,215,215,1,51.669,402.15,400,2026-02-23,2026-02-02,0.1,0.1,,0,0.1,,3.03,12.62,23.72
IRCTC,195,195,1,53.319,639.45,640,2026-02-23,2026-01-21,0,,,0,,,2.74,5.85,8.87
GODREJPROP,187,187,1,607.988,1829.7,1820,2026-02-23,2026-01-28,0.6,0.8,,0.2,0.1,,3.3,10.21,18.52
IREDA,239,239,1,48.196,127.23,127,2026-02-23,2026-01-21,0.4,0.3,,0.6,0.3,,2.43,7.81,12.63
PREMIERENE,243,243,1,77.107,776.25,780,2026-02-23,2026-01-12,0.1,0.5,,0.6,0.7000000000000001,,2.73,10.85,16.96
SUZLON,174,174,1,5.713,44.25,44,2026-02-23,2025-08-18,0.1,0.1,,0.1,0.7000000000000001,,2.3,8.11,17.46
TATAELXSI,266,266,1,433.801,4714,4700,2026-02-23,2026-02-17,1.0999999999999999,0.1,,0.4,0.1,,3.25,9.21,14.23
DIXON,163,163,1,749.752,10599,10600,2026-02-23,2025-12-11,0.1,0.1,,0,0,,3.51,9.24,20.51
NAUKRI,151,151,1,751.29,1069.7,1060,2026-02-23,2026-02-23,0.6,0.1,,0.1,0.1,,3.74,9.14,12.84
KAYNES,292,292,1,715.496,3799.5,3800,2026-02-23,2025-12-11,0.1,0.1,,0.1,0.1,,3.67,9.37,30.79
MANKIND,128,128,1,370.263,2046.6,2040,2026-02-23,2025-01-27,0.5,0.3,,1.0999999999999999,0.2,,1.85,4.81,10.28
RECLTD,118,118,1,317.1,352.2,352.5,2026-02-23,2026-02-13,0.1,0.1,,0.1,0.4,,2.4,7.89,10.4
